competencia;tp_ocde;chave_ies;co_ies;co_curso;co_municipio;tp_categoria_administrativa;ano_funcionamento;qt_matricula_total;qt_ingresso_total;qt_concluinte_total;qt_vaga_total;qt_inscrito_total
1995;Medicina;443_1995;443;317;310160;ERRO;1995;509,0;100,0;57,0;100;2200
1995;Odontologia;463_1995;463;301;261160;ERRO;1995;237,0;90,0;78,0;90;2010
1995;Fisioterapia;472_1995;472;320;250400;ERRO;1995;367,0;60,0;40,0;60;730
1995;Medicina;530_1995;530;314;330455;ERRO;1995;179,0;59,0;7,0;60;713
1995;Medicina;533_1995;533;309;330330;ERRO;1995;799,0;160,0;125,0;160;6636
1995;Medicina;557_1995;557;318;313670;ERRO;1995;1136,0;163,0;183,0;160;2663
1995;Medicina;560_1995;560;328;530010;ERRO;1995;780,0;64,0;92,0;60;3194
1995;Odontologia;582_1995;582;330;410480;ERRO;1995;0,0;20,0;0,0;20;911
1995;Odontologia;621_1995;621;309;330610;ERRO;1995;353,0;70,0;53,0;70;650
1995;Medicina;621_1995;621;301;330610;ERRO;1995;478,0;80,0;69,0;80;1039
1995;Medicina;642_1995;642;301;310620;ERRO;1995;521,0;80,0;76,0;80;3706
1995;Medicina;751_1995;751;360;330455;ERRO;1995;2112,0;194,0;278,0;192;4534
1995;Odontologia;751_1995;751;362;330455;ERRO;1995;646,0;88,0;134,0;80;1907
1995;Medicina;755_1995;755;308;353060;ERRO;1995;390,0;69,0;1,0;60;3669
1995;Fisioterapia;756_1995;756;304;350590;ERRO;1995;187,0;50,0;50,0;50;293
1995;Medicina;764_1995;764;301;270430;ERRO;1995;416,0;70,0;52,0;70;585
1995;Fisioterapia;801_1995;801;326;420240;ERRO;1995;80,0;40,0;0,0;40;513
1995;Odontologia;820_1995;820;305;330170;ERRO;1995;1692,0;200,0;240,0;140;1623
1995;Fisioterapia;822_1995;822;306;353870;ERRO;1995;314,0;78,0;61,0;80;498
1995;Fisioterapia;824_1995;824;311;354880;ERRO;1995;524,0;282,0;44,0;360;470
1995;Fisioterapia;881_1995;881;318;352900;ERRO;1995;576,0;200,0;53,0;200;692
1995;Medicina;27_1995;27;301;431560;ERRO;1995;322,0;60,0;62,0;60;1092
1995;Odontologia;38_1995;38;319;350600;ERRO;1995;390,0;80,0;0,0;80;736
1995;Medicina;170_1995;170;301;355030;ERRO;1995;595,0;100,0;89,0;100;636
1995;Odontologia;215_1995;215;301;330340;ERRO;1995;646,0;76,0;120,0;75;655
1995;Medicina;254_1995;254;301;150140;ERRO;1995;820,0;100,0;84,0;100;1847
1995;Fisioterapia;293_1995;293;330;330455;ERRO;1995;750,0;150,0;0,0;125;307
1995;Fisioterapia;309_1995;309;310;510340;ERRO;1995;294,0;80,0;36,0;80;218
1995;Odontologia;333_1995;333;312;420820;ERRO;1995;632,0;70,0;90,0;70;1883
1995;Odontologia;352_1995;352;322;354340;ERRO;1995;1398,0;174,0;256,0;180;2344
1995;Fisioterapia;352_1995;352;323;354340;ERRO;1995;652,0;145,0;114,0;150;632
1995;Odontologia;375_1995;375;306;354850;ERRO;1995;416,0;100,0;96,0;100;727
1995;Odontologia;393_1995;393;324;292740;ERRO;1995;552,0;62,0;94,0;120;2136
1995;Odontologia;434_1995;434;304;430466;ERRO;1995;368,0;45,0;100,0;90;830
1995;Odontologia;443_1995;443;310;310160;ERRO;1995;960,0;240,0;181,0;240;1739
1995;Medicina;445_1995;445;310;500270;ERRO;1995;307,0;50,0;55,0;48;1649
1995;Odontologia;500_1995;500;302;317010;ERRO;1995;1519,0;360,0;238,0;360;2829
1995;Medicina;556_1995;556;344;240810;ERRO;1995;567,0;98,0;83,0;80;2148
1995;Fisioterapia;557_1995;557;334;313670;ERRO;1995;68,0;46,0;0,0;40;347
1995;Fisioterapia;689_1995;689;309;355030;ERRO;1995;1197,0;450,0;39,0;450;659
1995;Medicina;716_1995;716;321;410690;ERRO;1995;427,0;70,0;66,0;70;2254
1995;Odontologia;730_1995;730;303;411370;ERRO;1995;240,0;60,0;55,0;60;612
1995;Odontologia;745_1995;745;309;316930;ERRO;1995;400,0;104,0;99,0;100;850
1995;Medicina;751_1995;751;379;330455;ERRO;1995;46,0;29,0;0,0;30;391
1995;Fisioterapia;798_1995;798;314;354890;ERRO;1995;181,0;43,0;29,0;40;1003
1995;Medicina;801_1995;801;320;420240;ERRO;1995;234,0;40,0;0,0;40;1367
1995;Fisioterapia;817_1995;817;302;420910;ERRO;1995;183,0;60,0;30,0;60;220
1995;Odontologia;829_1995;829;309;291080;ERRO;1995;552,0;59,0;68,0;60;2689
1995;Medicina;847_1995;847;314;510340;ERRO;1995;261,0;42,0;44,0;40;966
1995;Fisioterapia;851_1995;851;317;280030;ERRO;1995;37,0;80,0;0,0;80;536
1995;Fisioterapia;893_1995;893;368;355030;ERRO;1995;112,0;25,0;21,0;25;870
1995;Medicina;17_1995;17;301;355030;ERRO;1995;660,0;111,0;103,0;110;2635
1995;Medicina;23_1995;23;301;317010;ERRO;1995;480,0;80,0;68,0;80;2828
1995;Odontologia;50_1995;50;337;410690;ERRO;1995;383,0;91,0;87,0;88;3104
1995;Medicina;64_1995;64;301;330580;ERRO;1995;1428,0;200,0;140,0;148;2605
1995;Odontologia;101_1995;101;314;412810;ERRO;1995;167,0;88,0;0,0;88;573
1995;Medicina;138_1995;138;308;270430;ERRO;1995;582,0;117,0;76,0;80;1179
1995;Odontologia;150_1995;150;342;261160;ERRO;1995;576,0;103,0;59,0;100;1760
1995;Odontologia;187_1995;187;301;530010;ERRO;1995;618,0;64,0;130,0;60;1071
1995;Fisioterapia;199_1995;199;311;330390;ERRO;1995;291,0;103,0;27,0;100;251
1995;Odontologia;229_1995;229;336;355030;ERRO;1995;324,0;81,0;78,0;80;2690
1995;Medicina;229_1995;229;323;355030;ERRO;1995;564,0;90,0;92,0;90;12124
1995;Fisioterapia;254_1995;254;302;150140;ERRO;1995;164,0;30,0;31,0;30;534
1995;Odontologia;400_1995;400;313;355030;ERRO;1995;911,0;200,0;191,0;200;1575
1995;Fisioterapia;417_1995;417;301;330455;ERRO;1995;272,0;80,0;61,0;80;290
1995;Fisioterapia;443_1995;443;322;310160;ERRO;1995;352,0;160,0;0,0;160;377
1995;Fisioterapia;460_1995;460;325;431690;ERRO;1995;192,0;22,0;43,0;40;614
1995;Fisioterapia;473_1995;473;301;355030;ERRO;1995;326,0;120,0;63,0;120;862
1995;Medicina;479_1995;479;332;230440;ERRO;1995;1924,0;158,0;272,0;140;3655
